Ukazatel,IndicatorType,Roky,Oblast,Uz012,Věk (jednoleté skupiny),VEKZEN1PLOD,Hodnota,Uz01A
Míry plodnosti,5406,2001,Praha,CZ01,36,410036610037000,32.5829383886,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,37,410037610038000,23.2666900503,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,38,410038610039000,14.8213833291,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,39,410039610040000,12.5243529084,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,40,410040610041000,9.9840833454,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,41,410041610042000,6.0623983439,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,42,410042610043000,3.5380696292,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,43,410043610044000,1.5432098765,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,44,410044610045000,0.9451795841,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,45,410045610046000,0.2230649119,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,46,410046610047000,0.0,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,47,410047610048000,0.0,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,48,410048610049000,0.0,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,49,410049610050000,0.09797198,CZ01
Míry plodnosti,5406,2001,Střední Čechy,CZ02,15,410015610016000,1.2994513428,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,16,410016610017000,3.2970183486,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,17,410017610018000,5.5516014235,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,18,410018610019000,14.5268400664,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,19,410019610020000,25.7627118644,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,20,410020610021000,42.3315310563,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,21,410021610022000,50.4724315273,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,22,410022610023000,61.3726352838,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,23,410023610024000,72.0720720721,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,24,410024610025000,85.3185014167,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,25,410025610026000,105.2739165985,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,26,410026610027000,100.0400560785,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,27,410027610028000,102.6011560694,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,28,410028610029000,97.1511239706,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,29,410029610030000,70.4124327555,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,30,410030610031000,71.5633253679,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,31,410031610032000,58.3410504035,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,32,410032610033000,42.1860019175,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,33,410033610034000,36.6652725498,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,34,410034610035000,27.9376667135,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,35,410035610036000,24.0318593793,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,36,410036610037000,16.2239958132,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,37,410037610038000,13.8321696746,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,38,410038610039000,9.3444711879,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,39,410039610040000,8.1731496897,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,40,410040610041000,5.5206256709,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,41,410041610042000,4.0154440154,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,42,410042610043000,1.7518248175,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,43,410043610044000,1.1961722488,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,44,410044610045000,0.4972650423,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,45,410045610046000,0.7263922518,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,46,410046610047000,0.0,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,47,410047610048000,0.1148633127,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,48,410048610049000,0.0,CZ02
Míry plodnosti,5406,2001,Střední Čechy,CZ02,49,410049610050000,0.0,CZ02
Míry plodnosti,5406,2001,Jihozápad,CZ03,15,410015610016000,0.9495387954,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,16,410016610017000,2.7892150352,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,17,410017610018000,6.7167127618,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,18,410018610019000,15.8215536247,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,19,410019610020000,24.7430529121,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,20,410020610021000,39.4016782196,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,21,410021610022000,50.3984734538,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,22,410022610023000,63.3993743483,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,23,410023610024000,72.2891566265,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,24,410024610025000,88.3224659158,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,25,410025610026000,98.441108545,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,26,410026610027000,101.9495958155,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,27,410027610028000,96.9762207652,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,28,410028610029000,87.9447689857,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,29,410029610030000,77.5320139697,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,30,410030610031000,68.0736854947,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,31,410031610032000,51.6023214736,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,32,410032610033000,43.1341511674,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,33,410033610034000,33.3741997003,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,34,410034610035000,30.620467365,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,35,410035610036000,18.9468182412,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,36,410036610037000,17.4513496547,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,37,410037610038000,11.6784693751,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,38,410038610039000,8.6933614331,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,39,410039610040000,8.5446527012,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,40,410040610041000,4.7097936002,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,41,410041610042000,3.4901577551,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,42,410042610043000,1.6068559186,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,43,410043610044000,0.98340504,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,44,410044610045000,0.924000924,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,45,410045610046000,0.1120071685,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,46,410046610047000,0.1113957892,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,47,410047610048000,0.0,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,48,410048610049000,0.1089918256,CZ03
Míry plodnosti,5406,2001,Jihozápad,CZ03,49,410049610050000,0.0,CZ03
Míry plodnosti,5406,2001,Severozápad,CZ04,15,410015610016000,3.121606949,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,16,410016610017000,6.2661762703,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,17,410017610018000,16.2140251317,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,18,410018610019000,32.1568627451,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,19,410019610020000,46.0261895501,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,20,410020610021000,59.9520383693,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,21,410021610022000,66.3752444496,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,22,410022610023000,70.75773746,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,23,410023610024000,77.6390945631,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,24,410024610025000,90.7129648654,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,25,410025610026000,95.5817809422,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,26,410026610027000,100.9463722397,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,27,410027610028000,85.6888713184,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,28,410028610029000,86.6183677818,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,29,410029610030000,74.0314978733,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,30,410030610031000,62.2563352827,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,31,410031610032000,52.1928699667,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,32,410032610033000,42.5101214575,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,33,410033610034000,40.6659388646,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,34,410034610035000,26.7206477733,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,35,410035610036000,18.6656076251,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,36,410036610037000,19.8044940967,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,37,410037610038000,13.7765419616,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,38,410038610039000,10.5667627281,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,39,410039610040000,8.289374529,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,40,410040610041000,5.2059408973,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,41,410041610042000,3.506097561,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,42,410042610043000,1.1549011116,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,43,410043610044000,0.7854431208,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,44,410044610045000,0.2483854943,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,45,410045610046000,0.2424830262,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,46,410046610047000,0.0,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,47,410047610048000,0.115446779,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,48,410048610049000,0.0,CZ04
Míry plodnosti,5406,2001,Severozápad,CZ04,49,410049610050000,0.0,CZ04
Míry plodnosti,5406,2001,Severovýchod,CZ05,15,410015610016000,0.8485362749,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,16,410016610017000,4.1631973356,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,17,410017610018000,8.8170462895,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,18,410018610019000,16.3071524409,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,19,410019610020000,29.441318328,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,20,410020610021000,39.6096995459,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,21,410021610022000,53.260196408,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,22,410022610023000,57.9852579853,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,23,410023610024000,75.0693618708,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,24,410024610025000,81.527585677,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,25,410025610026000,102.731993678,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,26,410026610027000,99.7310623039,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,27,410027610028000,103.0251582034,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,28,410028610029000,90.4965969246,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,29,410029610030000,78.539722801,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,30,410030610031000,67.111534795,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,31,410031610032000,59.7133757962,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,32,410032610033000,43.2562017928,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,33,410033610034000,33.7561814664,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,34,410034610035000,30.4891187244,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,35,410035610036000,25.384453339,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,36,410036610037000,17.2933842751,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,37,410037610038000,12.9948020792,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,38,410038610039000,9.9292278441,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,39,410039610040000,8.3814701552,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,40,410040610041000,4.6274872744,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,41,410041610042000,3.3732697453,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,42,410042610043000,2.7765437583,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,43,410043610044000,0.8170769074,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,44,410044610045000,0.6649567778,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,45,410045610046000,0.4557469693,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,46,410046610047000,0.0889363216,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,47,410047610048000,0.0873591334,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,48,410048610049000,0.0,CZ05
Míry plodnosti,5406,2001,Severovýchod,CZ05,49,410049610050000,0.0,CZ05
Míry plodnosti,5406,2001,Jihovýchod,CZ06,15,410015610016000,0.6545726576,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,16,410016610017000,2.5732928959,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,17,410017610018000,5.795235029,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,18,410018610019000,11.4034300081,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,19,410019610020000,23.3246301131,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,20,410020610021000,39.7646069777,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,21,410021610022000,48.2088265266,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,22,410022610023000,53.9817086772,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,23,410023610024000,72.7075027184,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,24,410024610025000,84.8446056468,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,25,410025610026000,93.0248763152,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,26,410026610027000,101.76779742,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,27,410027610028000,99.886492622,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,28,410028610029000,90.7319354587,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,29,410029610030000,76.4567194342,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,30,410030610031000,65.8400279427,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,31,410031610032000,56.3138389225,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,32,410032610033000,41.9076514649,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,33,410033610034000,35.0048216008,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,34,410034610035000,27.7619319262,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,35,410035610036000,23.688819246,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,36,410036610037000,16.9807965861,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,37,410037610038000,15.0990318856,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,38,410038610039000,9.253139458,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,39,410039610040000,6.975830222,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,40,410040610041000,5.6508377119,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,41,410041610042000,3.6119193338,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,42,410042610043000,1.4485755674,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,43,410043610044000,0.6242753946,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,44,410044610045000,0.3355141755,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,45,410045610046000,0.3282994091,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,46,410046610047000,0.0,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,47,410047610048000,0.0832708802,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,48,410048610049000,0.0,CZ06
Míry plodnosti,5406,2001,Jihovýchod,CZ06,49,410049610050000,0.0,CZ06
Míry plodnosti,5406,2001,Střední Morava,CZ07,15,410015610016000,1.1194029851,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,16,410016610017000,2.3170731707,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,17,410017610018000,4.2708968883,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,18,410018610019000,12.0640229336,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,19,410019610020000,23.5682568598,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,20,410020610021000,34.1597796143,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,21,410021610022000,44.289287203,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,22,410022610023000,63.8153428377,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,23,410023610024000,72.0239767725,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,24,410024610025000,90.9677419355,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,25,410025610026000,102.3807368516,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,26,410026610027000,106.1613077061,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,27,410027610028000,98.0558701397,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,28,410028610029000,86.0402960526,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,29,410029610030000,77.3597506679,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,30,410030610031000,60.5278592375,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,31,410031610032000,55.7167029248,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,32,410032610033000,44.3775855585,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,33,410033610034000,36.3214837713,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,34,410034610035000,27.0615266786,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,35,410035610036000,22.0324297562,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,36,410036610037000,19.0408187552,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,37,410037610038000,12.2984104885,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,38,410038610039000,7.6660988075,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,39,410039610040000,7.3274199769,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,40,410040610041000,5.0309597523,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,41,410041610042000,3.0223390276,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,42,410042610043000,2.0133383667,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,43,410043610044000,1.5238541789,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,44,410044610045000,0.3353079244,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,45,410045610046000,0.0,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,46,410046610047000,0.0,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,47,410047610048000,0.0,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,48,410048610049000,0.0,CZ07
Míry plodnosti,5406,2001,Střední Morava,CZ07,49,410049610050000,0.0,CZ07
Míry plodnosti,5406,2001,Moravskoslezsko,CZ08,15,410015610016000,1.6277177072,CZ08
Míry plodnosti,5406,2001,Moravskoslezsko,CZ08,16,410016610017000,4.352429126,CZ08
Míry plodnosti,5406,2001,Moravskoslezsko,CZ08,17,410017610018000,11.1097978962,CZ08
Míry plodnosti,5406,2001,Moravskoslezsko,CZ08,18,410018610019000,20.3987553302,CZ08
Míry plodnosti,5406,2001,Moravskoslezsko,CZ08,19,410019610020000,38.3681960014,CZ08
Míry plodnosti,5406,2001,Moravskoslezsko,CZ08,20,410020610021000,47.564731379,CZ08
Míry plodnosti,5406,2001,Moravskoslezsko,CZ08,21,410021610022000,58.5791441629,CZ08
Míry plodnosti,5406,2001,Moravskoslezsko,CZ08,22,410022610023000,66.4924506388,CZ08
Míry plodnosti,5406,2001,Moravskoslezsko,CZ08,23,410023610024000,80.9464508095,CZ08
Míry plodnosti,5406,2001,Moravskoslezsko,CZ08,24,410024610025000,89.3379922561,CZ08
Míry plodnosti,5406,2001,Moravskoslezsko,CZ08,25,410025610026000,97.7492559524,CZ08
Míry plodnosti,5406,2001,Moravskoslezsko,CZ08,26,410026610027000,99.1213618891,CZ08
Míry plodnosti,5406,2001,Moravskoslezsko,CZ08,27,410027610028000,97.622143786,CZ08
Míry plodnosti,5406,2001,Moravskoslezsko,CZ08,28,410028610029000,79.2762171349,CZ08
Míry plodnosti,5406,2001,Moravskoslezsko,CZ08,29,410029610030000,73.2307034424,CZ08
Míry plodnosti,5406,2001,Moravskoslezsko,CZ08,30,410030610031000,62.1531631521,CZ08
Míry plodnosti,5406,2001,Moravskoslezsko,CZ08,31,410031610032000,50.5004026228,CZ08
Míry plodnosti,5406,2001,Moravskoslezsko,CZ08,32,410032610033000,40.0475341652,CZ08
Míry plodnosti,5406,2001,Moravskoslezsko,CZ08,33,410033610034000,35.0054132082,CZ08
Míry plodnosti,5406,2001,Moravskoslezsko,CZ08,34,410034610035000,24.3561356485,CZ08
