"Ukazatel","IndicatorType","Roky","CasR","ČR, Reg. soudržnosti, Kraje","Uz012","Hodnota"
"Narození","4355","2005","2005","Moravskoslezsko","CZ08","12223"
"Narození","4355","2005","2005","Hlavní město Praha","CZ010","11966"
"Narození","4355","2005","2005","Středočeský kraj","CZ020","12136"
"Narození","4355","2005","2005","Jihočeský kraj","CZ031","6149"
"Narození","4355","2005","2005","Plzeňský kraj","CZ032","5455"
"Narození","4355","2005","2005","Karlovarský kraj","CZ041","3025"
"Narození","4355","2005","2005","Ústecký kraj","CZ042","8763"
"Narození","4355","2005","2005","Liberecký kraj","CZ051","4284"
"Narození","4355","2005","2005","Královéhradecký kraj","CZ052","5427"
"Narození","4355","2005","2005","Pardubický kraj","CZ053","4925"
"Narození","4355","2005","2005","Kraj Vysočina","CZ063","5084"
"Narození","4355","2005","2005","Jihomoravský kraj","CZ064","11173"
"Narození","4355","2005","2005","Olomoucký kraj","CZ071","6201"
"Narození","4355","2005","2005","Zlínský kraj","CZ072","5687"
"Narození","4355","2005","2005","Moravskoslezský kraj","CZ080","12223"
"Narození","4355","2006","2006","Česko","CZ","106130"
"Narození","4355","2006","2006","Praha","CZ01","12556"
"Narození","4355","2006","2006","Střední Čechy","CZ02","12771"
"Narození","4355","2006","2006","Jihozápad","CZ03","12205"
"Narození","4355","2006","2006","Severozápad","CZ04","12187"
"Narození","4355","2006","2006","Severovýchod","CZ05","15240"
"Narození","4355","2006","2006","Jihovýchod","CZ06","16670"
"Narození","4355","2006","2006","Střední Morava","CZ07","12076"
"Narození","4355","2006","2006","Moravskoslezsko","CZ08","12425"
"Narození","4355","2006","2006","Hlavní město Praha","CZ010","12556"
"Narození","4355","2006","2006","Středočeský kraj","CZ020","12771"
"Narození","4355","2006","2006","Jihočeský kraj","CZ031","6386"
"Narození","4355","2006","2006","Plzeňský kraj","CZ032","5819"
"Narození","4355","2006","2006","Karlovarský kraj","CZ041","3216"
"Narození","4355","2006","2006","Ústecký kraj","CZ042","8971"
"Narození","4355","2006","2006","Liberecký kraj","CZ051","4478"
"Narození","4355","2006","2006","Královéhradecký kraj","CZ052","5502"
"Narození","4355","2006","2006","Pardubický kraj","CZ053","5260"
"Narození","4355","2006","2006","Kraj Vysočina","CZ063","5124"
"Narození","4355","2006","2006","Jihomoravský kraj","CZ064","11546"
"Narození","4355","2006","2006","Olomoucký kraj","CZ071","6445"
"Narození","4355","2006","2006","Zlínský kraj","CZ072","5631"
"Narození","4355","2006","2006","Moravskoslezský kraj","CZ080","12425"
"Narození","4355","2007","2007","Česko","CZ","114947"
"Narození","4355","2007","2007","Praha","CZ01","13228"
"Narození","4355","2007","2007","Střední Čechy","CZ02","14313"
"Narození","4355","2007","2007","Jihozápad","CZ03","13052"
"Narození","4355","2007","2007","Severozápad","CZ04","13208"
"Narození","4355","2007","2007","Severovýchod","CZ05","16916"
"Narození","4355","2007","2007","Jihovýchod","CZ06","17792"
"Narození","4355","2007","2007","Střední Morava","CZ07","13026"
"Narození","4355","2007","2007","Moravskoslezsko","CZ08","13412"
"Narození","4355","2007","2007","Hlavní město Praha","CZ010","13228"
"Narození","4355","2007","2007","Středočeský kraj","CZ020","14313"
"Narození","4355","2007","2007","Jihočeský kraj","CZ031","6940"
"Narození","4355","2007","2007","Plzeňský kraj","CZ032","6112"
"Narození","4355","2007","2007","Karlovarský kraj","CZ041","3455"
"Narození","4355","2007","2007","Ústecký kraj","CZ042","9753"
"Narození","4355","2007","2007","Liberecký kraj","CZ051","5055"
