Ukazatel,IndicatorType,Roky,CasR,"ČR, Reg. soudržnosti, Kraje",Uz012,Hodnota,Uz01A
Narození,4355,2009,2009,Kraj Vysočina,CZ063,5466.0,CZ06
Narození,4355,2009,2009,Jihomoravský kraj,CZ064,13184.0,CZ06
Narození,4355,2009,2009,Olomoucký kraj,CZ071,7150.0,CZ07
Narození,4355,2009,2009,Zlínský kraj,CZ072,6091.0,CZ07
Narození,4355,2009,2009,Moravskoslezský kraj,CZ080,13268.0,CZ08
Narození,4355,2010,2010,Česko,CZ,117446.0,CZ
Narození,4355,2010,2010,Praha,CZ01,14824.0,CZ01
Narození,4355,2010,2010,Střední Čechy,CZ02,15262.0,CZ02
Narození,4355,2010,2010,Jihozápad,CZ03,13211.0,CZ03
Narození,4355,2010,2010,Severozápad,CZ04,12629.0,CZ04
Narození,4355,2010,2010,Severovýchod,CZ05,16906.0,CZ05
Narození,4355,2010,2010,Jihovýchod,CZ06,18438.0,CZ06
Narození,4355,2010,2010,Střední Morava,CZ07,13054.0,CZ07
Narození,4355,2010,2010,Moravskoslezsko,CZ08,13122.0,CZ08
Narození,4355,2010,2010,Hlavní město Praha,CZ010,14824.0,CZ01
Narození,4355,2010,2010,Středočeský kraj,CZ020,15262.0,CZ02
Narození,4355,2010,2010,Jihočeský kraj,CZ031,6959.0,CZ03
Narození,4355,2010,2010,Plzeňský kraj,CZ032,6252.0,CZ03
Narození,4355,2010,2010,Karlovarský kraj,CZ041,3324.0,CZ04
Narození,4355,2010,2010,Ústecký kraj,CZ042,9305.0,CZ04
Narození,4355,2010,2010,Liberecký kraj,CZ051,5130.0,CZ05
Narození,4355,2010,2010,Královéhradecký kraj,CZ052,6036.0,CZ05
Narození,4355,2010,2010,Pardubický kraj,CZ053,5740.0,CZ05
Narození,4355,2010,2010,Kraj Vysočina,CZ063,5370.0,CZ06
Narození,4355,2010,2010,Jihomoravský kraj,CZ064,13068.0,CZ06
Narození,4355,2010,2010,Olomoucký kraj,CZ071,6936.0,CZ07
Narození,4355,2010,2010,Zlínský kraj,CZ072,6118.0,CZ07
Narození,4355,2010,2010,Moravskoslezský kraj,CZ080,13122.0,CZ08
Narození,4355,2011,2011,Česko,CZ,108990.0,CZ
Narození,4355,2011,2011,Praha,CZ01,14002.0,CZ01
Narození,4355,2011,2011,Střední Čechy,CZ02,14565.0,CZ02
Narození,4355,2011,2011,Jihozápad,CZ03,11983.0,CZ03
Narození,4355,2011,2011,Severozápad,CZ04,11699.0,CZ04
Narození,4355,2011,2011,Severovýchod,CZ05,15447.0,CZ05
Narození,4355,2011,2011,Jihovýchod,CZ06,17528.0,CZ06
Narození,4355,2011,2011,Střední Morava,CZ07,11917.0,CZ07
Narození,4355,2011,2011,Moravskoslezsko,CZ08,11849.0,CZ08
Narození,4355,2011,2011,Hlavní město Praha,CZ010,14002.0,CZ01
Narození,4355,2011,2011,Středočeský kraj,CZ020,14565.0,CZ02
Narození,4355,2011,2011,Jihočeský kraj,CZ031,6398.0,CZ03
Narození,4355,2011,2011,Plzeňský kraj,CZ032,5585.0,CZ03
Narození,4355,2011,2011,Karlovarský kraj,CZ041,3026.0,CZ04
Narození,4355,2011,2011,Ústecký kraj,CZ042,8673.0,CZ04
Narození,4355,2011,2011,Liberecký kraj,CZ051,4662.0,CZ05
Narození,4355,2011,2011,Královéhradecký kraj,CZ052,5452.0,CZ05
Narození,4355,2011,2011,Pardubický kraj,CZ053,5333.0,CZ05
Narození,4355,2011,2011,Kraj Vysočina,CZ063,5086.0,CZ06
Narození,4355,2011,2011,Jihomoravský kraj,CZ064,12442.0,CZ06
Narození,4355,2011,2011,Olomoucký kraj,CZ071,6336.0,CZ07
Narození,4355,2011,2011,Zlínský kraj,CZ072,5581.0,CZ07
Narození,4355,2011,2011,Moravskoslezský kraj,CZ080,11849.0,CZ08
Narození,4355,2012,2012,Česko,CZ,108955.0,CZ
Narození,4355,2012,2012,Praha,CZ01,14233.0,CZ01
Narození,4355,2012,2012,Střední Čechy,CZ02,14483.0,CZ02
Narození,4355,2012,2012,Jihozápad,CZ03,12457.0,CZ03
Narození,4355,2012,2012,Severozápad,CZ04,11077.0,CZ04
Narození,4355,2012,2012,Severovýchod,CZ05,15503.0,CZ05
Narození,4355,2012,2012,Jihovýchod,CZ06,17551.0,CZ06
Narození,4355,2012,2012,Střední Morava,CZ07,11831.0,CZ07
Narození,4355,2012,2012,Moravskoslezsko,CZ08,11820.0,CZ08
Narození,4355,2012,2012,Hlavní město Praha,CZ010,14233.0,CZ01
Narození,4355,2012,2012,Středočeský kraj,CZ020,14483.0,CZ02
Narození,4355,2012,2012,Jihočeský kraj,CZ031,6672.0,CZ03
Narození,4355,2012,2012,Plzeňský kraj,CZ032,5785.0,CZ03
Narození,4355,2012,2012,Karlovarský kraj,CZ041,2831.0,CZ04
Narození,4355,2012,2012,Ústecký kraj,CZ042,8246.0,CZ04
Narození,4355,2012,2012,Liberecký kraj,CZ051,4609.0,CZ05
Narození,4355,2012,2012,Královéhradecký kraj,CZ052,5489.0,CZ05
Narození,4355,2012,2012,Pardubický kraj,CZ053,5405.0,CZ05
Narození,4355,2012,2012,Kraj Vysočina,CZ063,5166.0,CZ06
Narození,4355,2012,2012,Jihomoravský kraj,CZ064,12385.0,CZ06
Narození,4355,2012,2012,Olomoucký kraj,CZ071,6319.0,CZ07
Narození,4355,2012,2012,Zlínský kraj,CZ072,5512.0,CZ07
Narození,4355,2012,2012,Moravskoslezský kraj,CZ080,11820.0,CZ08
Narození,4355,2013,2013,Česko,CZ,107117.0,CZ
Narození,4355,2013,2013,Praha,CZ01,13913.0,CZ01
